row_index,Telescope,obs_code,mjd_start,mjd_end,bandwidth,cent_f,low_c_l,high_c_h,rec_time_s,rec_time_m,rec_time_h,rec_time_d
319,tr,f22c17,59914.77091435184,59915.03089119782,256.0,4708.0,4580.0,4836.0,21340.977268712595,355.68295447854325,5.928049241309054,0.2470020517212106
320,stk,r117_59914_244,59914.81592446162,59914.940475265525,98.4375,1381.46484375,1332.24609375,1430.68359375,10761.189457518049,179.3531576253008,2.9892192937550135,0.1245508039064589
321,stk,r117_59914_245,59914.94053873835,59915.007245931396,98.4375,1381.46484375,1332.24609375,1430.68359375,5763.501478987747,96.05835798312911,1.6009726330521519,0.06670719304383967
322,wb,p11724,59915.499444444446,59915.99707129481,64.0,332.0,300.0,364.0,41197.776380809955,686.6296063468326,11.44382677244721,0.47682611551863374
323,tr,f22l16,59915.73967592593,59916.017013883065,128.0,1414.0,1350.0,1478.0,22780.952836177312,379.68254726962186,6.328042454493698,0.26366843560390407
324,wb,p11725,59916.49665509259,59916.8422101837,64.0,332.0,300.0,364.0,28297.666296735406,471.62777161225677,7.860462860204279,0.327519285841845
325,stk,r117_59916_246,59916.89905424179,59917.03000378656,98.4375,1381.46484375,1332.24609375,1430.68359375,11314.040668238888,188.56734447064812,3.142789074510802,0.13094954477128343
326,stk,r117_59917_247,59917.03001317197,59917.15636366727,98.4375,1381.46484375,1332.24609375,1430.68359375,10916.682794108056,181.94471323513426,3.0324118872522376,0.12635049530217657
327,stk,r117_59917_248,59917.15637325492,59917.280642375394,98.4375,1381.46484375,1332.24609375,1430.68359375,10736.85200905893,178.9475334843155,2.9824588914052583,0.1242691204752191
328,stk,r117_59917_249,59917.29051856968,59917.39585215523,98.4375,1381.46484375,1332.24609375,1430.68359375,9100.821791240014,151.68036318733357,2.528006053122226,0.10533358554675942
329,stk,r117_59917_250,59917.395867366045,59917.54270542629,98.4375,1381.46484375,1332.24609375,1430.68359375,12686.808405211197,211.44680675351995,3.524113445891999,0.14683806024549997
330,wb,p11726,59917.493900462956,59917.991536977774,64.0,332.0,300.0,364.0,41205.378551152535,686.7563091858756,11.44593848643126,0.4769141036013025
331,stk,r117_59917_251,59917.54271392169,59917.667618984095,98.4375,1381.46484375,1332.24609375,1430.68359375,10791.797391604632,179.8632898600772,2.9977214976679534,0.12490506240283139
332,stk,r117_59917_252,59917.667625497226,59917.79239540174,98.4375,1381.46484375,1332.24609375,1430.68359375,10780.119749880396,179.6686624980066,2.99447770830011,0.12476990451250458
